"OldPath","NewPath","Status"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\SSO_and_Authentication\Configure SSO and Authentication_7.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\SSO_and_Authentication\configure_sso_and_authentication_7.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_1.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_1.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_2.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_2.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_3.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_3.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_4.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_4.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_5.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_5.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_6.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_6.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_7.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_7.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\User Management_1_8.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Management\user_management_1_8.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Settings\Update User Settings.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Settings\update_user_settings.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Settings\Update User Settings_1.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\getting_started_6_1\User_Settings\update_user_settings_1.png","RENAMED"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\itam\procurement_v6_1\Purchase Order Line Item.jpg","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\itam\procurement_v6_1\purchase_order_line_item.jpg","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\itam\procurement_v6_1\Purchase Order.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1\itam\procurement_v6_1\purchase_order.png","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\admin_incident\incident category_new_new.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\admin_incident\incident_category_new_new.png","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\admin_org_details\org-details_New.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\admin_org_details\org_details_new.png","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\itam\procurement_v6_1\Purchase Order Line Item.jpg","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\itam\procurement_v6_1\purchase_order_line_item.jpg","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\itam\procurement_v6_1\Purchase Order.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\6_1_1\itam\procurement_v6_1\purchase_order.png","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\admin_incident\incident category_new_new.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\admin_incident\incident_category_new_new.png","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\admin_org_details\org-details_New.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\admin_org_details\org_details_new.png","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\itam\procurement_v6_1\Purchase Order Line Item.jpg","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\itam\procurement_v6_1\purchase_order_line_item.jpg","SKIPPED (target exists)"
"C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\itam\procurement_v6_1\Purchase Order.png","C:\Users\GopichandY\github\FeatureDocsite\src\assets\images\NG\itam\procurement_v6_1\purchase_order.png","SKIPPED (target exists)"
